epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,294.843,1.09131,0.65166,0.92437,0.8381,0.82173,0.89082,0.65731,1.05413,0.71388,0.90446,0.0015644,0.0015644,0.0015644
112,297.464,1.04175,0.61225,0.92228,0.76371,0.84127,0.86373,0.62306,1.07914,0.7775,0.91468,0.00156044,0.00156044,0.00156044
113,300.096,1.06656,0.64576,0.92312,0.84696,0.85714,0.9079,0.63747,1.13827,0.75969,0.93334,0.00155648,0.00155648,0.00155648
114,302.72,1.07849,0.63978,0.92514,0.88191,0.84127,0.92796,0.67143,1.10958,0.74816,0.92776,0.00155252,0.00155252,0.00155252
115,305.341,1.095,0.65415,0.91081,0.89843,0.8424,0.91596,0.66538,1.07474,0.6752,0.90855,0.00154856,0.00154856,0.00154856
116,307.979,1.06872,0.61493,0.91123,0.8511,0.81664,0.90161,0.63211,1.1309,0.74447,0.91971,0.0015446,0.0015446,0.0015446
117,310.601,1.11843,0.63929,0.92404,0.79027,0.90476,0.91049,0.65536,1.08324,0.7015,0.90817,0.00154064,0.00154064,0.00154064
118,313.223,1.06223,0.5948,0.94247,0.86645,0.85714,0.91347,0.66326,1.09034,0.71328,0.91726,0.00153668,0.00153668,0.00153668
119,315.855,1.08223,0.63103,0.9159,0.87992,0.69792,0.8393,0.58976,1.17507,0.83482,0.9358,0.00153272,0.00153272,0.00153272
120,318.472,1.10884,0.63646,0.89547,0.75855,0.74803,0.79307,0.54352,1.21784,0.91259,0.9467,0.00152876,0.00152876,0.00152876
121,321.105,1.07488,0.6313,0.90348,0.85926,0.87217,0.88949,0.6375,1.14086,0.75538,0.92168,0.0015248,0.0015248,0.0015248
122,323.734,1.05842,0.63234,0.92087,0.87622,0.87302,0.89086,0.64267,1.13337,0.72691,0.91732,0.00152084,0.00152084,0.00152084
123,326.363,1.11676,0.64135,0.93739,0.88641,0.86713,0.90593,0.63703,1.14146,0.7463,0.92407,0.00151688,0.00151688,0.00151688
124,328.99,1.06178,0.63488,0.91138,0.85211,0.92063,0.90402,0.66499,1.08725,0.71204,0.90534,0.00151292,0.00151292,0.00151292
125,331.654,1.02082,0.58132,0.90821,0.8251,0.90476,0.90169,0.65763,1.08794,0.75279,0.90624,0.00150896,0.00150896,0.00150896
126,334.304,1.0728,0.61055,0.91369,0.83926,0.88889,0.90615,0.66017,1.10626,0.72893,0.91736,0.001505,0.001505,0.001505
127,336.963,1.02352,0.63446,0.90872,0.87301,0.87299,0.90784,0.6326,1.15055,0.74038,0.92909,0.00150104,0.00150104,0.00150104
128,339.611,1.07334,0.64977,0.92389,0.89675,0.82719,0.92294,0.67149,1.10692,0.70395,0.91587,0.00149708,0.00149708,0.00149708
129,342.255,1.11547,0.64748,0.92422,0.90073,0.86417,0.92484,0.66234,1.06821,0.69079,0.89355,0.00149312,0.00149312,0.00149312
130,344.897,1.02157,0.6068,0.89978,0.86785,0.83401,0.91073,0.65305,1.07716,0.71451,0.8989,0.00148916,0.00148916,0.00148916
131,347.522,1.02849,0.58305,0.90492,0.76225,0.74603,0.82889,0.58566,1.18238,0.87655,0.93255,0.0014852,0.0014852,0.0014852
132,350.16,1.04349,0.58618,0.91139,0.85493,0.93651,0.90365,0.65593,1.07774,0.79603,0.90623,0.00148124,0.00148124,0.00148124
133,352.798,1.03916,0.59581,0.90029,0.85976,0.92063,0.92974,0.63544,1.16724,0.7571,0.95211,0.00147728,0.00147728,0.00147728
134,355.46,1.04629,0.62004,0.9212,0.86932,0.92063,0.9303,0.64283,1.20681,0.69505,0.96548,0.00147332,0.00147332,0.00147332
135,358.098,1.05272,0.61719,0.90754,0.93075,0.85341,0.91259,0.64244,1.12835,0.68802,0.92102,0.00146936,0.00146936,0.00146936
136,360.722,1.07715,0.61269,0.94033,0.87084,0.90476,0.92044,0.62692,1.23227,0.6942,0.9591,0.0014654,0.0014654,0.0014654
137,363.372,1.1063,0.63459,0.92491,0.92656,0.87302,0.92904,0.63968,1.20045,0.69401,0.96516,0.00146144,0.00146144,0.00146144
138,366.002,1.08264,0.60559,0.89989,0.85172,0.90476,0.92255,0.6572,1.11227,0.67892,0.92423,0.00145748,0.00145748,0.00145748
139,368.618,1.07081,0.59553,0.91293,0.87021,0.85143,0.90162,0.63648,1.10347,0.69873,0.92706,0.00145352,0.00145352,0.00145352
140,371.259,1.07395,0.61895,0.91962,0.8683,0.83728,0.88195,0.61547,1.11198,0.77751,0.92511,0.00144956,0.00144956,0.00144956
141,373.883,1.03597,0.5878,0.91824,0.84219,0.88889,0.89154,0.63554,1.12037,0.75215,0.92498,0.0014456,0.0014456,0.0014456
142,376.511,1.05729,0.58202,0.89249,0.87854,0.85714,0.90454,0.65465,1.04968,0.68806,0.90813,0.00144164,0.00144164,0.00144164
143,379.149,1.00108,0.57639,0.89564,0.91237,0.8254,0.9207,0.6692,1.0627,0.6782,0.90528,0.00143768,0.00143768,0.00143768
144,381.776,0.94682,0.55861,0.88677,0.85794,0.88889,0.9271,0.65483,1.13995,0.68287,0.9262,0.00143372,0.00143372,0.00143372
145,384.418,1.03797,0.59791,0.89613,0.9163,0.86891,0.91673,0.68026,1.02747,0.68363,0.89734,0.00142976,0.00142976,0.00142976
146,387.12,0.99146,0.5726,0.89717,0.93292,0.88312,0.92147,0.66547,1.0674,0.66153,0.90635,0.0014258,0.0014258,0.0014258
147,389.745,1.02302,0.58088,0.91889,0.91754,0.88318,0.91715,0.66495,1.08328,0.66241,0.91327,0.00142184,0.00142184,0.00142184
148,392.387,1.04294,0.59197,0.89318,0.84109,0.92416,0.91774,0.66635,1.06762,0.64707,0.90947,0.00141788,0.00141788,0.00141788
149,395.023,1.02653,0.58746,0.91863,0.88652,0.86803,0.89937,0.64816,1.03433,0.67245,0.90522,0.00141392,0.00141392,0.00141392
150,397.66,0.98013,0.55749,0.89296,0.8567,0.85714,0.89264,0.63532,1.07576,0.69536,0.92023,0.00140996,0.00140996,0.00140996
151,400.317,0.9855,0.55857,0.88921,0.9209,0.80952,0.89664,0.64783,1.12951,0.71593,0.91943,0.001406,0.001406,0.001406
152,402.95,1.00672,0.55449,0.91557,0.91559,0.80952,0.89993,0.64114,1.15719,0.73225,0.92421,0.00140204,0.00140204,0.00140204
153,405.602,1.0911,0.59566,0.94163,0.94806,0.84127,0.94987,0.69388,1.1111,0.62906,0.91569,0.00139808,0.00139808,0.00139808
154,408.327,1.05813,0.627,0.91608,0.84649,0.90476,0.93511,0.68092,1.09225,0.66368,0.90101,0.00139412,0.00139412,0.00139412
155,410.965,1.04052,0.56342,0.89986,0.8208,0.90476,0.91661,0.66052,1.13522,0.70121,0.90889,0.00139016,0.00139016,0.00139016
156,413.615,1.04721,0.5852,0.90888,0.86007,0.87813,0.92634,0.65042,1.1783,0.71122,0.94996,0.0013862,0.0013862,0.0013862
157,416.243,1.04699,0.61322,0.89647,0.94563,0.82822,0.93649,0.65571,1.12,0.69367,0.92525,0.00138224,0.00138224,0.00138224
158,418.879,1.02885,0.60772,0.89022,0.87452,0.88502,0.92917,0.6548,1.09565,0.69696,0.9132,0.00137828,0.00137828,0.00137828
159,421.511,0.95353,0.52679,0.89301,0.91525,0.88889,0.92738,0.67455,1.0709,0.63008,0.90892,0.00137432,0.00137432,0.00137432
160,424.134,1.02396,0.57052,0.89112,0.86343,0.90323,0.93071,0.68892,1.06185,0.64301,0.90272,0.00137036,0.00137036,0.00137036
161,426.769,1.02123,0.56734,0.89267,0.91117,0.8141,0.91302,0.64992,1.07985,0.67394,0.90384,0.0013664,0.0013664,0.0013664
162,429.394,1.04121,0.58371,0.90798,0.92797,0.81799,0.90584,0.63982,1.10975,0.69003,0.91558,0.00136244,0.00136244,0.00136244
163,432.02,1.05089,0.59706,0.91047,0.92284,0.80952,0.91393,0.65918,1.09771,0.66943,0.91727,0.00135848,0.00135848,0.00135848
164,434.653,0.99913,0.56231,0.89767,0.81244,0.92063,0.91066,0.65364,1.10171,0.70432,0.91756,0.00135452,0.00135452,0.00135452
165,437.276,0.96462,0.5338,0.89434,0.84813,0.93651,0.91695,0.6406,1.14974,0.67496,0.92705,0.00135056,0.00135056,0.00135056
166,439.899,1.01445,0.58506,0.89728,0.85013,0.93651,0.91484,0.65302,1.12731,0.65899,0.92327,0.0013466,0.0013466,0.0013466
167,442.536,0.97048,0.54398,0.88248,0.85269,0.87302,0.86607,0.61607,1.08375,0.74145,0.91216,0.00134264,0.00134264,0.00134264
168,445.162,0.9513,0.54411,0.88709,0.86286,0.89886,0.88885,0.62902,1.10642,0.7186,0.91535,0.00133868,0.00133868,0.00133868
169,447.798,0.93533,0.50286,0.87037,0.87761,0.91061,0.90151,0.63934,1.06496,0.67307,0.90382,0.00133472,0.00133472,0.00133472
170,450.427,0.96108,0.55023,0.88965,0.87221,0.90476,0.90633,0.65595,1.046,0.67658,0.8965,0.00133076,0.00133076,0.00133076
171,453.043,1.01233,0.5642,0.88299,0.87784,0.92063,0.90803,0.64294,1.08266,0.6761,0.90618,0.0013268,0.0013268,0.0013268
172,455.685,0.96838,0.54814,0.89718,0.83915,0.87302,0.88387,0.61613,1.09023,0.77909,0.91042,0.00132284,0.00132284,0.00132284
173,458.318,0.97048,0.57502,0.89112,0.84373,0.87302,0.88436,0.63657,1.07747,0.76624,0.90849,0.00131888,0.00131888,0.00131888
