frame,duck_id,x_world,y_world
134,0,1.6504,1.4813
134,1,2.7488,1.1562
135,0,1.6822,1.4688
135,1,2.7807,1.1562
135,2,1.0454,1.7875
136,0,2.8231,1.1437
136,1,1.7140,1.4500
136,2,1.0454,1.7875
137,0,1.7300,1.4375
137,1,2.8656,1.1313
137,2,1.0507,1.7812
138,0,1.7512,1.4250
138,1,1.0454,1.7812
138,2,2.8921,1.1125
139,0,1.0454,1.7812
139,1,1.7724,1.4000
139,2,2.9186,1.1125
140,0,1.0401,1.7750
140,1,2.9452,1.0875
140,2,1.7936,1.3688
141,0,1.0348,1.7750
141,1,1.8255,1.3625
141,2,2.9664,1.0813
141,3,2.8603,1.4688
142,0,1.8520,1.3562
142,1,2.9823,1.0750
142,2,1.0295,1.7688
143,0,1.0348,1.7625
143,1,1.8892,1.3500
143,2,3.0088,1.0750
143,3,2.9717,1.2938
144,0,1.0348,1.7500
144,1,3.0407,1.0750
144,2,1.9369,1.3250
144,3,2.9982,1.2875
144,4,2.8868,1.4813
145,0,2.9133,1.4937
145,1,1.0401,1.7438
145,2,3.0619,1.0687
145,3,1.9741,1.3188
145,4,3.0301,1.2812
146,0,2.9239,1.5063
146,1,2.0165,1.3188
146,2,3.0938,1.0500
146,3,3.0725,1.2688
146,4,1.3267,1.6875
146,5,1.0560,1.7375
147,0,2.0590,1.2875
147,1,2.9399,1.5125
147,2,3.1097,1.0188
147,3,1.3320,1.6875
147,4,3.0831,1.2500
147,5,1.0666,1.7313
148,0,3.1256,1.2500
148,1,2.9558,1.5250
148,2,2.1067,1.2625
148,3,3.1309,1.0063
148,4,1.3426,1.6812
149,0,2.9876,1.5187
149,1,3.1574,1.2500
149,2,2.1439,1.2562
149,3,3.1415,0.9938
149,4,1.3532,1.6812
150,0,3.0088,1.5250
150,1,2.2075,1.2500
150,2,3.2052,1.2437
150,3,3.1627,1.0000
150,4,1.3850,1.6750
151,0,2.2659,1.2375
151,1,3.2476,1.2437
151,2,3.0195,1.5313
151,3,3.1787,1.0000
151,4,1.4116,1.6812
152,0,3.0354,1.5438
152,1,2.2978,1.2375
152,2,3.2795,1.2437
152,3,3.2105,1.0188
152,4,1.4381,1.6812
153,0,3.0460,1.5563
153,1,1.4487,1.6875
153,2,2.3455,1.2375
153,3,3.2370,1.0125
153,4,3.3166,1.2375
154,0,1.4752,1.6812
154,1,2.3986,1.2188
154,2,3.0672,1.5813
154,3,3.3432,1.2500
154,4,3.2636,1.0188
155,0,1.4965,1.6812
155,1,3.0778,1.5938
155,2,2.4463,1.2063
155,3,3.3591,1.2562
155,4,3.2742,1.0250
156,0,3.0938,1.6187
156,1,2.4835,1.2125
156,2,3.2954,1.0312
156,3,1.5283,1.6938
156,4,3.3803,1.2625
157,0,3.0991,1.6375
157,1,2.5259,1.2250
157,2,3.3007,1.0125
157,3,3.3803,1.2812
157,4,1.5495,1.7000
158,0,1.5814,1.6938
158,1,3.3060,1.0188
158,2,3.3750,1.3000
158,3,3.1097,1.6562
158,4,2.5631,1.2250
159,0,3.3644,1.3062
159,1,1.5973,1.6938
159,2,3.1203,1.6750
159,3,2.5949,1.2375
159,4,3.3113,1.0250
159,5,1.3638,1.7625
160,0,3.1256,1.6875
160,1,1.3903,1.7625
160,2,2.6321,1.2562
160,3,1.6079,1.7000
160,4,3.3538,1.3188
160,5,3.3166,1.0375
161,0,2.6586,1.2500
161,1,3.3432,1.3375
161,2,1.6185,1.6938
161,3,3.3166,1.0625
161,4,3.1150,1.7125
161,5,1.3956,1.7812
161,6,1.1993,1.6688
162,0,2.6904,1.2500
162,1,1.6344,1.7000
162,2,3.3166,1.0875
162,3,3.3272,1.3562
162,4,3.1044,1.7313
162,5,1.1940,1.6938
162,6,1.4062,1.7812
163,0,1.6397,1.7188
163,1,3.3219,1.1063
163,2,3.0938,1.7438
163,3,2.7064,1.2750
163,4,3.3113,1.3813
163,5,1.1887,1.7062
163,6,1.4116,1.8187
164,0,1.4222,1.8375
164,1,3.3060,1.4000
164,2,1.6610,1.7500
164,3,2.7223,1.3000
164,4,3.0778,1.7688
164,5,1.1887,1.7125
