frame,duck_id,x_world,y_world
162,6,1.4116,1.7875
163,0,2.7011,1.2812
163,1,1.1887,1.7062
163,2,3.0884,1.7563
163,3,1.4169,1.8000
163,4,1.6450,1.7250
163,5,3.3113,1.1125
163,6,3.2954,1.3813
164,0,3.0725,1.7750
164,1,1.1887,1.7125
164,2,2.7276,1.3062
164,3,3.3166,1.1313
164,4,3.2795,1.3875
164,5,1.4275,1.8187
164,6,1.6610,1.7625
164,7,3.3166,1.4062
165,0,3.0513,1.8000
165,1,2.7435,1.3188
165,2,3.3060,1.1437
165,3,1.1887,1.7313
165,4,1.4381,1.8312
165,5,3.2901,1.4062
165,6,1.6928,1.7937
165,7,2.7647,1.3188
166,0,2.7541,1.3188
166,1,3.0460,1.8250
166,2,3.3166,1.1625
166,3,1.4699,1.8375
166,4,1.1887,1.7500
166,5,3.2954,1.4187
166,6,1.7300,1.7875
167,0,2.7594,1.3188
167,1,3.0354,1.8437
167,2,1.4912,1.8437
167,3,3.3060,1.1750
167,4,1.7618,1.7750
167,5,1.1993,1.7500
167,6,3.3007,1.4437
168,0,2.7966,1.3250
168,1,3.0354,1.8500
168,2,3.3166,1.1813
168,3,1.8096,1.7875
168,4,1.2099,1.7750
168,5,1.5283,1.8625
168,6,1.2205,1.7875
168,7,3.3272,1.4625
168,8,1.5495,1.8687
168,9,1.4965,1.8500
169,0,2.8019,1.3312
169,1,3.3166,1.1938
169,2,3.0301,1.8437
169,3,1.8732,1.7937
169,4,1.5708,1.8563
169,5,1.2152,1.7875
169,6,3.3485,1.4750
169,7,3.3803,1.4750
170,0,3.3166,1.2000
170,1,3.0035,1.8375
170,2,2.8019,1.3438
170,3,1.5973,1.8687
170,4,1.9051,1.8187
170,5,1.2099,1.7812
170,6,1.8892,1.7875
170,7,1.2311,1.7937
170,8,3.3644,1.4750
171,0,2.9876,1.8437
171,1,3.3113,1.2000
171,2,1.6132,1.8687
171,3,2.8019,1.3500
171,4,1.9210,1.8187
171,5,1.2099,1.8000
171,6,3.3750,1.4750
171,7,1.2311,1.8062
172,0,2.9770,1.8500
172,1,3.2795,1.2000
172,2,1.6344,1.8500
172,3,2.8125,1.3562
172,4,1.9634,1.8312
172,5,1.2152,1.8062
172,6,1.9475,1.8062
172,7,3.3856,1.4813
173,0,3.2742,1.2063
173,1,1.6557,1.8437
173,2,2.9505,1.8437
173,3,1.2099,1.8000
173,4,2.8125,1.3750
173,5,1.9847,1.8312
174,0,3.2742,1.2188
174,1,1.6928,1.8500
174,2,2.9399,1.8563
174,3,2.8178,1.3625
174,4,1.2152,1.7875
174,5,2.0271,1.8375
174,6,1.2258,1.7937
174,7,3.3909,1.5000
175,0,3.2742,1.2125
175,1,2.9292,1.8563
175,2,2.0377,1.8250
175,3,1.7353,1.8625
175,4,1.2152,1.7937
175,5,2.8125,1.3625
175,6,3.3909,1.5125
176,0,1.2471,1.8062
176,1,2.8231,1.3438
176,2,3.2742,1.2063
176,3,1.7777,1.8500
176,4,2.9239,1.8500
176,5,2.0749,1.8000
176,6,3.4068,1.4875
177,0,2.8231,1.3438
177,1,2.9239,1.8375
177,2,1.8255,1.8500
177,3,3.2848,1.1938
177,4,1.2683,1.8125
177,5,2.1014,1.7812
177,6,3.3856,1.4625
178,0,2.8337,1.3375
178,1,2.9027,1.8187
178,2,1.2736,1.8062
178,3,1.8679,1.8187
178,4,3.2848,1.1813
178,5,2.1439,1.7875
178,6,3.3909,1.4563
179,0,3.2742,1.1687
179,1,2.8443,1.3438
179,2,2.8921,1.8125
179,3,1.2842,1.8062
179,4,1.9157,1.8250
179,5,2.1704,1.7750
179,6,3.3962,1.4500
180,0,2.8496,1.3438
180,1,2.8815,1.8000
180,2,1.3160,1.8000
180,3,3.2583,1.1625
180,4,1.9581,1.8062
180,5,2.1916,1.7688
180,6,3.4228,1.4437
181,0,2.8496,1.3438
181,1,1.3267,1.8000
181,2,2.8762,1.7812
181,3,1.9953,1.8250
181,4,3.2317,1.1625
181,5,3.4175,1.4437
181,6,3.4493,1.4688
181,7,2.2341,1.7500
182,0,2.8443,1.3375
182,1,3.2158,1.1625
182,2,2.8762,1.7750
182,3,1.3691,1.8062
182,4,2.2447,1.7250
182,5,2.0430,1.8250
182,6,3.4281,1.4500
182,7,3.4493,1.4750
183,0,2.8390,1.3312
183,1,2.8656,1.7812
183,2,1.3797,1.8187
183,3,3.2052,1.1750
183,4,2.2606,1.7313
183,5,3.4493,1.4625
183,6,2.0908,1.8187
